"X"	"Id"	"Start"	"End"	"tmp_pos"	"Exp"
"1"	2887	"mioC"	3926011	3926455	489	225.087881789514
"2"	2888	"asnC"	3926544	3927003	1030	66.0814799929165
"3"	2889	"asnA"	3927154	3928147	1906	103.674697337151
"4"	2886	"atpI"	3922059	3922440	3494	154.039376709476
"5"	2885	"atpB"	3921235	3922051	4101	741.306303062454
"6"	2884	"atpE"	3920949	3921189	4675	514.235772412201
"7"	2883	"atpF"	3920417	3920888	5092	1068.49493916297
"8"	2882	"atpH"	3919869	3920403	5608	662.627982829912
"9"	2881	"atpA"	3918315	3919857	6658	2417.04926157445
"10"	2890	"rbsD"	3933350	3933770	7816	171.676187402227
"11"	2880	"atpG"	3917401	3918265	7911	920.161046976303
"12"	2891	"rbsA"	3933777	3935283	8786	273.711012479785
"13"	2879	"atpD"	3915992	3917375	9060	1600.50864571261
"14"	2878	"atpC"	3915552	3915972	9982	307.795427837676
"15"	2892	"rbsC"	3935287	3936253	10026	262.482082437037
"16"	2893	"rbsB"	3936277	3937168	10978	1074.25969505035
"17"	2877	"glmU"	3913829	3915200	11230	805.048350136042
"18"	2894	"rbsK"	3937293	3938223	12014	313.389582989524
"19"	2895	"hsrA"	3939184	3940612	14154	91.1509831387371
"20"	2876	"pstS"	3910484	3911525	14740	80.9564997213735
"21"	2896	"yieP"	3940634	3941327	15236	346.160644634142
"22"	2875	"pstC"	3909438	3910398	15826	35.0170219567552
"23"	2874	"pstA"	3908548	3909439	16750	46.0182979878861
"24"	2873	"pstB"	3907592	3908366	17765	107.181337238526
"25"	2872	"phoU"	3906852	3907578	18529	57.4053107419178
"26"	2871	"bglG"	3905730	3906567	19596	1.49252915778976
"27"	2870	"bglF"	3903719	3905597	21086	10.9886308514019
"28"	2897	"hdfR"	3947127	3947967	21803	112.540660852908
"29"	2898	"yifE"	3948085	3948424	22510	184.169326007929
"30"	2869	"bglB"	3902288	3903701	22750	1.79053696672656
"31"	2899	"yifB"	3948448	3949969	23464	25.8339146110916
