"X"	"Id"	"Start"	"End"	"tmp_pos"	"Exp"
"1"	46	"SMb20044"	55089	56400	654.5	417.61941050707
"2"	45	"SMb20043"	53786	54629	882.5	352.515243884354
"3"	47	"SMb20045"	56555	57560	1967.5	1524.03331259767
"4"	44	"SMb20042"	52255	53413	2256	1264.94764953095
"5"	48	"SMb20046"	57563	58760	3071.5	2190.18972035367
"6"	43	"SMb20041"	51702	52233	3122.5	101.140392567211
"7"	42	"SMb20040"	50651	51512	4008.5	76.2195122012945
"8"	49	"SMb20047"	59126	59315	4130.5	247.405497655135
"9"	50	"SMb20048"	59483	60191	4747	473.976848091057
"10"	41	"SMb20039"	49145	50570	5232.5	526.484235263911
"11"	40	"SMb20038"	48821	49049	6155	39.6976626074316
"12"	51	"SMb20049"	60309	62271	6200	616.540749144512
"13"	39	"SMb20037"	47744	48605	6915.5	54.6896363121192
"14"	52	"SMb20050"	62414	62924	7579	67.7109782964643
"15"	38	"SMb20036"	46648	47665	7933.5	136.55995935029
"16"	53	"SMb20054"	63019	63847	8343	174.571088553324
"17"	37	"SMb20035"	45307	46588	9142.5	36.4597575466819
"18"	54	"SMb20055"	63994	64984	9399	1076.60060973448
"19"	36	"SMb20034"	44733	45297	10075	20.8341471717907
"20"	35	"SMb20033"	43774	44437	10984.5	338.224085323295
"21"	34	"SMb20032"	42650	43385	12072.5	184.90305615557
"22"	55	"SMb20056"	66643	67711	12087	30701.7201251152
"23"	33	"SMb20031"	42305	42554	12660.5	34.9339430870786
"24"	56	"SMb20057"	67707	68751	13139	17360.0531328271
"25"	32	"SMb20030"	41422	42280	13239	377.618917340513
"26"	31	"SMb20029"	40949	41423	13904	177.845528448962
"27"	57	"SMb20058"	68747	69548	14057.5	11066.1204266607
"28"	58	"SMb20059"	69551	70331	14851	7133.09113613783
"29"	30	"SMb20028"	39373	40510	15148.5	590.216537429114
"30"	59	"SMb20060"	70422	71619	15930.5	9.69839380816393
"31"	29	"SMb20027"	37804	39310	16533	320.046995627986
"32"	60	"SMb22003"	71777	72098	16847.5	119.796346218037
"33"	61	"SMb20061"	72258	72414	17246	42.9500297214136
"34"	28	"SMb20026"	37330	37792	17529	61.9283536557797
"35"	62	"SMb20062"	72517	72766	17551.5	586.06008286388
"36"	63	"SMb20063"	72755	73052	17813.5	497.389053785249
"37"	64	"SMb20064"	72973	73420	18106.5	166.673177279482
"38"	27	"SMb20025"	36146	37124	18455	176.257621942177
"39"	65	"SMb20065"	73971	74370	19080.5	18.0113027920527
"40"	66	"SMb20066"	74536	74722	19539	25.4065040619167
"41"	26	"SMb20024"	34934	35897	19674.5	354.180501778176
"42"	67	"SMb20067"	74725	75247	19896	75.5237834839099
"43"	68	"SMb20068"	75461	75671	20476	241.074360322466
"44"	69	"SMb20069"	76204	77608	21816	3379.19749971706
"45"	25	"SMb20023"	31300	34918	21981	2460.62105768882
"46"	70	"SMb20070"	77868	79356	23522	207.822724437895
"47"	24	"SMb20022"	30657	31224	24149.5	306.465955343051
"48"	71	"SMb20071"	79573	80767	25080	40.1790600537444
"49"	23	"SMb20021"	29539	30010	25315.5	195.312500023589
"50"	72	"SMb20072"	81238	82168	26613	1357.66006096898
"51"	22	"SMb20020"	27344	29423	26706.5	15539.2530486555
"52"	73	"SMb20073"	82330	83188	27669	53.9888211374022
"53"	21	"SMb20019"	26205	27342	28316.5	4385.58797802588
"54"	74	"SMb20074"	83383	83626	28414.5	11.0838786372188
"55"	75	"SMb20075"	83674	83866	28680	5.20853679215731
"56"	76	"SMb20076"	83964	84981	29382.5	59.5758476796317
"57"	20	"SMb20018"	25091	26114	29487.5	1646.65904458196
"58"	77	"SMb20077"	85080	86745	30822.5	236.988423966492
"59"	19	"SMb20017"	23336	24842	31001	705.211778223144
"60"	78	"SMb20078"	86744	87380	31972	141.323678855099
"61"	18	"SMb20016"	22344	23337	32249.5	317.720744342145
"62"	17	"SMb20015"	21391	22348	33220.5	379.509654499688
"63"	16	"SMb20014"	20376	21378	34213	360.22605568173
"64"	79	"SMb20079"	88212	91431	34731.5	242.949695071677
"65"	15	"SMb20013"	19078	20323	35389.5	342.987804843648
"66"	80	"SMb20080"	91545	92715	37040	36.022605568173
"67"	14	"SMb20012"	16479	19023	37339	127.609151405483
"68"	81	"SMb20081"	92734	93445	37999.5	65.1041666693484
"69"	82	"SMb20082"	93441	94260	38760.5	24.9387269293609
"70"	13	"SMb20011"	15668	16448	39032	33.8554891403285
"71"	83	"SMb20083"	94551	94791	39581	20.7822724437895
"72"	84	"SMb20084"	94902	95076	39899	39.064025937228
"73"	85	"SMb20085"	95127	95274	40110.5	6.92742414846092
"74"	12	"SMb20010"	14374	15442	40182	98.9621990462466
"75"	86	"SMb20086"	95471	95774	40532.5	13.8548482969218
"76"	87	"SMb20087"	95796	96402	41009	82.5711382128876
"77"	11	"SMb20009"	13350	14280	41275	561.121355950452
"78"	10	"SMb20008"	12296	13364	42260	106.682331886617
"79"	88	"SMb20088"	96556	98533	42454.5	94.2129684139701
"80"	89	"SMb20089"	98551	98875	43623	15.6256103748912
"81"	9	"SMb20007"	10153	12271	43878	65.1067099059182
"82"	90	"SMb20090"	98878	99070	43884	26.9944105687011
"83"	91	"SMb20091"	99185	99692	44348.5	46.0492886190247
"84"	92	"SMb20092"	99777	100536	45066.5	16.6258179582181
"85"	8	"SMb20006"	9085	10039	45528	91.149393858801
