"X"	"Id"	"Start"	"End"	"tmp_pos"	"Exp"
"1"	1288	"SMa2389"	1349279	1349696	513.5	95.7559181799931
"2"	1289	"SMa2391"	1350000	1351206	602	754.077855633034
"3"	1287	"SMa2387"	1348372	1349071	1279.5	265.543418005912
"4"	1290	"SMa5039"	1351265	1351448	1355.5	344.122830916336
"5"	1291	"SMa2393"	1351361	1352363	1861	2901.06184181044
"6"	1286	"SMa2385"	1346714	1348304	2492	996.460023465923
"7"	1292	"SMa2395"	1352359	1353535	2946	3114.79034011631
"8"	1285	"SMa2383"	1345524	1346493	3992.5	454.840611148502
"9"	1284	"SMa2381"	1344904	1345471	4813.5	643.942788792685
"10"	1283	"SMa2379"	1342281	1344465	6628	12355.9900775282
"11"	1282	"SMa2377"	1341021	1342191	8395	1031.71288901131
"12"	1281	"SMa2375"	1340346	1340820	9418	0
"13"	1280	"SMa2373"	1339873	1340281	9924	0
"14"	1279	"SMa5034"	1339094	1339781	10563.5	1120.14542235513
"15"	1278	"SMa2371"	1337701	1339000	11650.5	1965.02129336072
"16"	1277	"SMa2369"	1336735	1337680	12793.5	622.413468032311
"17"	1276	"SMa2367"	1335689	1336739	13787	481.297444985434
"18"	1275	"SMa2365"	1334173	1335700	15064.5	1415.39216533134
"19"	1274	"SMa2363"	1332761	1334177	16532	1380.82577372172
"20"	1273	"SMa2361"	1331763	1332750	17744.5	3229.67182150584
"21"	1272	"SMa2359"	1330681	1331458	18931.5	171.952148178491
"22"	1271	"SMa2357"	1329977	1330670	19677.5	469.802473407139
"23"	1270	"SMa2355"	1327041	1328151	22405	2453.74540284616
"24"	1269	"SMa2353"	1324659	1326858	24242.5	406.962652333792
"25"	1268	"SMa2351"	1323704	1324655	25821.5	146.626249687306
"26"	1267	"SMa2349"	1323060	1323708	26617	80.7940559557664
"27"	1266	"SMa2347"	1322020	1322701	27640.5	551.002592331399
"28"	1265	"SMa5013"	1321585	1321999	28209	196.516740783938
"29"	1264	"SMa5012"	1321061	1321589	28676	280.036355588783
"30"	1263	"SMa2343"	1320284	1321007	29355.5	1284.56628452968
"31"	1262	"SMa2341"	1319297	1320185	30260	323.176223823066
"32"	1261	"SMa2339"	1317984	1319097	31460.5	318.652101600596
"33"	1260	"SMa2414"	1315744	1317985	33136.5	424.869468887443
"34"	1259	"SMa2412"	1314631	1315576	34897.5	152.300474112025
"35"	1258	"SMa2410"	1312752	1314558	36346	415.939769482509
"36"	1257	"SMa2408"	1311398	1312769	37917.5	245.645925965013
"37"	1256	"SMa2406"	1310811	1311402	38894.5	56.427976325444
"38"	1255	"SMa2404"	1309061	1310819	40061	152.610994590761
"39"	1254	"SMa2402"	1307587	1309075	41670	136.091001733716
"40"	1253	"SMa2400"	1306178	1307591	43116.5	108.084207440112
"41"	1252	"SMa2337"	1304823	1306119	44530	216.168414850404
"42"	1251	"SMa2335"	1304348	1304552	45551	19.9157563520681
"43"	1250	"SMa2333"	1302413	1304123	46733	156.006758085784
"44"	1249	"SMa2331"	1300359	1302402	48620.5	137.561718554721
"45"	1248	"SMa2329"	1299787	1300357	49929	47.8779590899965
"46"	1247	"SMa2327"	1297078	1299769	51577.5	1190.96423213999
"47"	1246	"SMa2325"	1296389	1297082	53265.5	295.417052517767
"48"	1245	"SMa2323"	1295740	1296166	54048	491.291851810744
"49"	1244	"SMa2321"	1293346	1295416	55620	1706.11646068636
"50"	1243	"SMa2319"	1292161	1292809	57516	185.527091456531
"51"	1242	"SMa2317"	1291826	1292054	58061	152.610994590761
"52"	1241	"SMa2315"	1291277	1291817	58454	648.505244521392
"53"	1240	"SMa2313"	1289112	1291146	59872	389.008417692249
"54"	1239	"SMa2311"	1287889	1289116	61498.5	110.717780369809
"55"	1238	"SMa2309"	1287071	1287893	62519	29.9237244278067
"56"	1237	"SMa2307"	1286172	1287096	63367	66.3858545177246
"57"	1236	"SMa2305"	1284826	1286095	64540.5	126.133123541436
"58"	1235	"SMa2303"	1283422	1284649	65965.5	397.946400047218
"59"	1234	"SMa2301"	1281992	1283339	67335.5	176.865066687652
"60"	1233	"SMa2299"	1280761	1281688	68776.5	69.7051472159916
"61"	1232	"SMa2297"	1279887	1280700	69707.5	544.611784700327
"62"	1231	"SMa2295"	1278151	1279483	71184	412.685155604522
"63"	1230	"SMa2294"	1275787	1277974	73120.5	137.561718554721
"64"	1229	"SMa2293"	1274592	1275477	74966.5	481.466014971344
"65"	1228	"SMa2291"	1273404	1274517	76040.5	200.488953646347
"66"	1227	"SMa2289"	1273010	1273403	76794.5	78.6066962956832
"67"	1226	"SMa2287"	1271937	1272870	77597.5	494.574615908475
"68"	1225	"SMa2285"	1271329	1271806	78433.5	89.7711732765381
"69"	1224	"SMa2281"	1270389	1270722	79445.5	46.4700981656565
"70"	1223	"SMa2279"	1269910	1270393	79849.5	43.1508054348963
"71"	1222	"SMa2275"	1268801	1269077	81062	324.252622260696
"72"	1221	"SMa2273"	1268470	1268821	81355.5	221.081333359565
"73"	1220	"SMa2269"	1267796	1268162	82022	14.7387555573044
"74"	1219	"SMa2267"	1267176	1267614	82606	487.756708048682
"75"	1218	"SMa2265"	1266849	1267101	83026	275.298264733069
"76"	1217	"SMa2263"	1266524	1266860	83309	235.669783494056
"77"	1216	"SMa2259"	1265173	1265599	84615	451.988503856735
"78"	1215	"SMa2257"	1264009	1265167	85413	1991.57563520681
"79"	1214	"SMa2255"	1263674	1264013	86157.5	876.765125740932
"80"	1213	"SMa2253"	1263294	1263672	86518	902.847621142117
"81"	1212	"SMa2251"	1261773	1262337	87946	933.620202048467
"82"	1211	"SMa2249"	1260670	1261777	88777.5	524.448250485317
"83"	1210	"SMa2245"	1257343	1259881	91389	4136.67739407744
"84"	1209	"SMa2243"	1256338	1257265	93199.5	826.503888659564
"85"	1208	"SMa2241"	1255073	1256321	94304	2378.93609189708
"86"	1207	"SMa2239"	1254258	1255038	95353	2995.36481516358
"87"	1206	"SMa2237"	1253109	1254114	96389.5	571.543136490587
"88"	1205	"SMa2235"	1251185	1252820	97998.5	972.757866782088
"89"	1204	"SMa2233"	1250150	1250930	99461	1021.88705217191
"90"	1203	"SMa2231"	1249315	1249699	100494	2038.86118562591
"91"	1202	"SMa2229"	1248076	1248562	101682	194.504208777303
"92"	1201	"SMa2227"	1247112	1247886	102502	1734.26023734222
"93"	1200	"SMa2225"	1245644	1247021	103668.5	648.505244521392
"94"	1199	"SMa2223"	1244237	1245344	105210.5	428.188761618203
"95"	1198	"SMa2221"	1243527	1244241	106117	383.207644489914
"96"	1197	"SMa2219"	1242937	1243531	106767	341.887150618438
"97"	1196	"SMa2217"	1241609	1242935	107729	766.415288979827
"98"	1195	"SMa2215"	1240819	1241587	108798	281.283009602113
"99"	1194	"SMa2213"	1239072	1240557	110186.5	864.673659461257
"100"	1193	"SMa2211"	1237355	1239056	111795.5	1543.47111720404
"101"	1192	"SMa2209"	1236211	1237234	113278.5	532.642294824595
"102"	1191	"SMa2207"	1235015	1236101	114443	368.441492464519
"103"	1190	"SMa2205"	1234153	1235014	115417.5	317.191478919611
"104"	1189	"SMa2203"	1233362	1234157	116241.5	209.115441680468
"105"	1188	"SMa2201"	1232891	1233272	116919.5	224.427933191345
"106"	1187	"SMa2199"	1231889	1232780	117666.5	697.22277898139
"107"	1186	"SMa2197"	1230911	1231826	118632.5	574.81146673487
"108"	1185	"SMa2195"	1230145	1230910	119473.5	568.550764107682
"109"	1184	"SMa2193"	1228831	1230145	120513	966.536298948648
"110"	1183	"SMa2191"	1228390	1228777	121417.5	0
"111"	1182	"SMa2189"	1226954	1228184	122432	0
"112"	1181	"SMa2187"	1226046	1226961	123497.5	0
"113"	1180	"SMa2175"	1225060	1226050	124446	0
"114"	1179	"SMa2171"	1222965	1224603	126217	6.63858545177246
"115"	1178	"SMa2169"	1222134	1222512	127678	95.7559181799931
"116"	1177	"SMa2168"	1222023	1222096	127941.5	59.8474488624957
"117"	1176	"SMa2167"	1221479	1221947	128288	739.115993374397
"118"	1175	"SMa2165"	1219614	1220355	130016.5	89.7711732765381
"119"	1174	"SMa2163"	1218607	1219489	130953	203.481326098074
"120"	1173	"SMa2159"	1217747	1218461	131897	74.8093110523114
"121"	1172	"SMa2157"	1216722	1217778	132751	50.870331541724
"122"	1171	"SMa2151"	1215300	1215624	134539	751.676533422523
"123"	1170	"SMa2147"	1213697	1214588	135858.5	29.9237244278067
"124"	1169	"SMa5035"	1213663	1214104	136117.5	11.969489769058
"125"	1168	"SMa2145"	1212030	1213287	137342.5	374.046555433612
"126"	1167	"SMa2143"	1211021	1211975	138503	89.7711732765381
"127"	1166	"SMa2141"	1210164	1211025	139406.5	157.213392621187
"128"	1165	"SMa2139"	1208865	1210071	140533	155.603367008078
"129"	1164	"SMa2137"	1207894	1208869	141619.5	248.946954384604
"130"	1163	"SMa2135"	1206554	1207823	142812.5	353.730133375305
"131"	1162	"SMa2133"	1205621	1206413	143984	523.665177331769
"132"	1161	"SMa2131"	1204555	1205452	144997.5	245.374540284616
"133"	1160	"SMa2129"	1203290	1204310	146201	746.840863121319
