gene_name,dN,dS,omega,midpoint,tmp_pos
b0031,0.007,0.2454,0.0287,28784.5,1601490.5
b0062,0.0066,0.3173,0.02067,67586,1640292
b0072,0.0031,0.3414,0.00894,80164,1652870
b0123,0.0177,0.2745,0.06441,137861,1710567
b0131,0,0.2121,0,146504,1719210
b0136,1.2607,11.6514,0.1082,151091,1723797
b0141,1.0626,8.6658,0.12262,156678,1729384
b0145,0,0.029,0,160376.5,1733082.5
b0147,0.0239,0.1129,0.21218,161766,1734472
b0150,0.5433,5.76,0.09432,168692.5,1741398.5
b0159,0,0.0875,0,178808.5,1751514.5
b0207,0.0347,0.1135,0.30568,229565.5,1802271.5
b0222,0.0025,0.3515,0.0071,243832,1816538
b0223,0.0038,0.2536,0.015,244695.5,1817401.5
b0227,0.0688,0.7313,0.09404,247103,1819809
b0231,0.0098,0.3756,0.0261,251421,1824127
b0289,0.0291,0.1975,0.14753,304833.5,1877539.5
b0292,0.0162,0.1513,0.10679,309692,1882398
b0310,0.0543,0.1318,0.4118,325009,1897715
b0329,0.0215,0.3277,0.06566,346621.5,1919327.5
b0331,0.0228,0.487,0.04674,349125.5,1921831.5
b0367,0,0.3408,0,387645.5,1960351.5
b0369,0.0015,0.2367,0.00619,389240,1961946
b0383,0.0105,0.2108,0.04981,402454.5,1975160.5
b0387,0.0061,0.159,0.03833,405993,1978699
b0391,0,0.0766,0,408319,1981025
b0397,0.0201,0.1903,0.10539,412954.5,1985660.5
b0398,0.0107,0.135,0.07944,416354,1989060
b0399,0,0.1042,0,417486.5,1990192.5
b0403,0.0237,0.2856,0.08294,423422,1996128
b0404,0.0198,0.3861,0.05139,424626,1997332
b0405,0.0066,0.3334,0.01986,425546,1998252
b0406,0,0.0943,0,426700.5,1999406.5
b0414,0.0291,0.3433,0.08484,434006.5,2006712.5
b0415,0,0.0343,0,434882,2007588
b0418,0.0028,0.5183,0.00537,436857,2009563
b0424,0.0053,0.3324,0.01585,443326.5,2016032.5
b0426,0,0.1522,0,444928.5,2017634.5
b0440,0,0.0231,0,461587,2034293
b0457,0.0138,0.0957,0.14434,477842,2050548
b0458,0,0.116,0,479016,2051722
b0459,0.0212,0.0622,0.34107,479642.5,2052348.5
b0460,0,0.0623,0,480199,2052905
b0461,0,0.0732,0,480521,2053227
b0469,0.0026,0.0984,0.02681,491687.5,2064393.5
b0474,0.0022,0.2549,0.00873,497497,2070203
b0512,0.0156,0.2577,0.06055,539652,2112358
b0514,0.028,0.2743,0.10194,542460.5,2115166.5
b0567,0.0207,0.2221,0.09305,587536,2160242
b0586,0.0391,0.3579,0.10927,616100.5,2188806.5
b0600,0.0158,0.3349,0.04725,634166,2206872
b0619,0.0084,0.2073,0.04063,653047.5,2225753.5
b0622,0.0146,0.1978,0.07386,656837,2229543
b0634,0.0014,0.0922,0.01533,665757,2238463
b0637,0,0.0966,0,668823.5,2241529.5
b0643,0.003,0.1436,0.02085,675259,2247965
b0657,0.0115,0.2533,0.04555,690119.5,2262825.5
b0677,0.0039,0.1319,0.02991,702177,2274883
b0686,0.0186,0.2144,0.08665,712420,2285126
b0709,0.0088,0.3132,0.02806,741815.5,2314521.5
b0722,0.009,0.0851,0.10553,755736.5,2328442.5
b0726,0.001,0.169,0.00584,760117,2332823
b0734,0,0.0952,0,773611.5,2346317.5
b0739,0,0.0552,0,777351,2350057
b0755,0,0.1743,0,787219,2359925
b0757,0.0026,0.1884,0.01354,789409.5,2362115.5
b0764,0.009,0.2314,0.03872,796208,2368914
b0796,0,0.2572,0,830309,2403015
b0802,0.0118,0.1627,0.07231,837795,2410501
b0805,0.0099,0.2274,0.04373,840390,2413096
b0823,0.0053,0.2402,0.02208,862342.5,2435048.5
b0829,0.0133,0.1243,0.10672,868472,2441178
b0837,0.018,0.074,0.24356,879296.5,2452002.5
b0848,0.0041,0.1587,0.02579,890277.5,2462983.5
b0862,0.014,0.1915,0.07338,901893.5,2474599.5
b0866,0.0091,0.4767,0.01916,904751.5,2477457.5
b0867,0.0139,0.2,0.06955,905328,2478034
b0870,0.0189,0.3194,0.05918,908793.5,2481499.5
b0881,0,0.0168,0,923073,2495779
b0886,0.0122,0.1497,0.08124,928334.5,2501040.5
b0890,0.0027,0.2322,0.0117,936424.5,2509130.5
b0903,0.0082,0.0921,0.08856,952413,2525119
b0904,0,0.1349,0,954037.5,2526743.5
b0912,0,0.0228,0,963970,2536676
b0917,0,0.096,0,970761,2543467
b0929,0.1352,0.7089,0.19066,986309,2559015
b0947,0.0174,0.1415,0.12332,1007048.5,2579754.5
b0955,0.0133,0.0882,0.15033,1017440,2590146
b0995,0.0093,0.2002,0.04629,1057623,2630329
b1015,0.0046,0.2739,0.01697,1080059,2652765
b1019,0.0199,0.3827,0.05188,1084011.5,2656717.5
b1033,0.0254,0.1183,0.21466,1098355,2671061
b1035,0.0203,0.1684,0.12072,1099917,2672623
b1051,0.0202,0.1107,0.18213,1113994,2686700
b1053,0.0017,0.1577,0.0105,1114773.5,2687479.5
b1057,0.0385,0.1685,0.22838,1118880,2691586
b1061,0,0.0984,0,1121364.5,2694070.5
b1070,0.0356,0.1244,0.28625,1129622,2702328
b1071,0.0052,0.1095,0.0472,1129971,2702677
b1072,0.0477,0.1817,0.2628,1130533.5,2703239.5
b1075,0.0081,0.1224,0.06587,1132201.5,2704907.5
b1105,0,0.155,0,1162948,2735654
b1107,0.0129,0.2817,0.04591,1164595.5,2737301.5
b1136,0.0056,0.2834,0.01969,1195740.5,2768446.5
b1174,0,0.09,0,1224412,2797118
b1178,0.01,0.1331,0.07493,1227271.5,2799977.5
b1179,0.0082,0.1714,0.04781,1227860.5,2800566.5
b1180,0.0047,0.1274,0.03722,1228408.5,2801114.5
b1187,0,0.1347,0,1235297.5,2808003.5
b1199,0.0246,0.1187,0.20708,1249441,2822147
b1213,0.019,0.173,0.10996,1267123,2839829
b1223,0.0031,0.1014,0.03081,1278652.5,2851358.5
b1232,0.0034,0.2081,0.01625,1288203,2860909
b1243,0.0072,0.0954,0.07513,1301997.5,2874703.5
b1248,0,0.097,0,1306985.5,2879691.5
b1250,0.0022,0.1161,0.01918,1309672.5,2882378.5
b1263,0.0037,0.4012,0.00915,1320585,2893291
b1276,0.0129,0.203,0.06364,1337168.5,2909874.5
b1281,0.0223,0.1844,0.12073,1342286.5,2914992.5
b1329,0.0072,0.1558,0.04591,1394033.5,2966739.5
b1377,0.0279,0.1279,0.21796,1436721,3009427
b1380,0.003,0.1418,0.02128,1442348.5,3015054.5
b1411,0.0525,0.1822,0.28832,1481567,3054273
b1412,0.0167,0.274,0.06084,1482557.5,3055263.5
b1469,0.0073,0.1906,0.03852,1543366,3116072
b1478,0.0088,0.3071,0.02857,1553333,3126039
b1493,0.003,0.2115,0.01442,1571345,3144051
b1533,0.0319,0.616,0.05179,1620687.5,3193393.5
b1535,0.0152,0.1445,0.1055,1623405,3196111
b1589,0,0.1102,0,1663337.5,3236043.5
b1605,0.0022,0.1302,0.01687,1680248,3252954
b1606,0.0215,0.1205,0.17845,1681334,3254040
b1607,0.0046,0.1124,0.04054,1681865.5,3254571.5
b1610,0.0189,0.199,0.09477,1684720.5,3257426.5
b1611,0.006,0.2348,0.02569,1685889.5,3258595.5
b1626,0.0106,0.0902,0.11761,1705470,3278176
b1634,0.0048,0.1478,0.0325,1713520,3286226
b1640,0.009,0.1813,0.04978,1719047.5,3291753.5
b1643,0.0079,0.0624,0.12664,1721122,3293828
b1675,0,0.0422,0,1755036.5,3327742.5
b1677,0,0,0,1757539,3330245
b1680,0.0071,0.2115,0.03337,1759910,3332616
