gene_name,dN,dS,omega
SCO0107,0.0023,0.0087,0.26899
SCO0110,0.0073,0.0373,0.19624
SCO0118,0.0092,0.0019,4.82822
SCO0129,0.0078,0.0086,0.90548
SCO0130,0.0101,0,NA
SCO0136,0.0015,0.0259,0.05951
SCO0142,0.0006,0,NA
SCO0158,0.0049,0.0075,0.66219
SCO0160,0,0.0171,0
SCO0171,0.012,0,NA
SCO0172,0.0029,0.0187,0.15421
SCO0174,0.0058,0.02,0.28888
SCO0177,0,0.0048,0
SCO0180,0,0.0069,0
SCO0181,0.0027,0,NA
SCO0182,0.0125,0.1816,0.06866
SCO0183,0.0119,0.0146,0.81375
SCO0186,0.0038,0.0041,0.9141
SCO0191,0.0037,0.0293,0.12525
SCO0200,0,0,0
SCO0201,0,0,0
SCO0218,0.0074,0.0041,1.81453
SCO0232,0.0369,0.0517,0.71412
SCO0233,0.0014,0.022,0.06583
SCO0256,0.0018,0.008,0.23039
SCO0275,0,0,0
SCO0276,0.0036,0,NA
SCO0281,0,0.0166,0
SCO0282,0.0038,0,NA
SCO0283,0.0028,0,NA
SCO0284,0.0055,0.0052,1.06517
SCO0290,0.0014,0,NA
SCO0291,0.002,0.0026,0.74568
SCO0301,0.003,0,NA
SCO0305,0.0027,0.001,2.59928
SCO0313,0,0,0
SCO0373,0.0104,0.0142,0.7367
SCO0374,0.0032,0.004,0.8062
SCO0392,0.0027,0,NA
SCO0409,0,0,0
SCO0438,0.0016,0.0911,0.01802
SCO0462,0.0027,0,NA
SCO0475,0,0.0469,0
SCO0476,0.0018,0.01,0.18268
SCO0477,0.0044,0,NA
SCO0479,0.0106,0.0302,0.35076
SCO0487,0,0.007,0
SCO0507,0.0087,0.0179,0.48399
SCO0511,0.004,0.0079,0.51101
SCO0512,0,0.0148,0
SCO0517,0.007,0,NA
SCO0519,0,0,0
SCO0540,0.0016,0.0035,0.46726
SCO0544,0.0018,0,NA
SCO0546,0.0014,0.0542,0.02658
SCO0553,0.0066,0.0765,0.08684
SCO0563,0,0.019,0
SCO0566,0,0,0
SCO0577,0,0.0655,0
SCO0579,0.0021,0.0727,0.02862
SCO0581,0,0.0516,0
SCO0587,0,0,0
SCO0592,0.0017,0.0183,0.09017
SCO0594,0.0029,0,NA
SCO0627,0.0011,0.0399,0.02641
SCO0640,0.0027,0.038,0.07062
SCO0641,0,0,0
SCO0643,0.0033,0.0347,0.09412
SCO0644,0.0097,0,NA
SCO0652,0.005,0,NA
SCO0660,0.0013,0,NA
SCO0661,0.0019,0,NA
SCO0662,0,0,0
SCO0676,0.0044,0.003,1.4645
SCO0702,0,0,0
SCO0765,0.0005,0.0176,0.02692
SCO0772,0.0023,0,NA
SCO0789,0.0014,0,NA
SCO0790,0.002,0.0066,0.30509
SCO0798,0.0063,0.0068,0.91801
SCO0802,0.0042,0.0901,0.04634
SCO0811,0,0.0346,0
SCO0812,0.0015,0.002,0.73515
