gene_name,dN,dS,omega,midpoint,tmp_pos
B657_RS21020,0.0198,0.3709,0.05341,4016706.5,198899.5
B657_RS21130,0.01665,0.14565,0.110055,4038812,176794
B657_RS21135,0.0456,0.4953,0.09212,4040133,175473
B657_RS21170,0.0342,0.4167,0.08208,4045873,169733
B657_RS21175,0.0331,0.36845,0.09302,4047618.5,167987.5
B657_RS21180,0.009,0.2995,0.03,4049659.5,165946.5
B657_RS21190,0.0159,0.29465,0.05551,4051434,164172
B657_RS21195,0.0414,0.47455,0.075965,4053322.5,162283.5
B657_RS21205,0.0717,0.4616,0.15536,4054917.5,160688.5
B657_RS21220,0.077,0.3209,0.23995,4056201.5,159404.5
B657_RS21225,0.0283,0.2916,0.09705,4057444,158162
B657_RS21230,0.0141,0.1901,0.07427,4058403.5,157202.5
B657_RS21240,0.03445,0.4489,0.086665,4060220.25,155385.75
B657_RS21245,0.0478,0.2307,0.20705,4063043.5,152562.5
B657_RS21255,0.073775,0.306325,0.265375,4064713.875,150892.125
B657_RS21260,0.011,0.3412,0.03212,4065779.5,149826.5
B657_RS21265,0.0134,0.1976,0.06761,4066806,148800
B657_RS21270,0.0247,0.2268,0.1089,4067688,147918
B657_RS21275,0.0176,0.1524,0.11555,4068362.5,147243.5
B657_RS21285,0.0165,0.1789,0.09251,4069470.5,146135.5
B657_RS21300,0.1273,1.5882,0.08017,4071795.5,143810.5
B657_RS21310,0.02,0.1743,0.11492,4073517,142089
B657_RS21315,0.0114,0.2678,0.04261,4074392,141214
B657_RS21320,0.0137,0.3752,0.03661,4076302,139304
B657_RS21325,0.026,0.2968,0.08763,4077500,138106
B657_RS21350,0.0179,0.2686,0.0665,4081517.5,134088.5
B657_RS21355,0.0208,0.2422,0.08597,4082437.5,133168.5
B657_RS21360,0.0108,0.3264,0.0331,4083651.5,131954.5
B657_RS21365,0.0059,0.2287,0.02591,4085176.5,130429.5
B657_RS21390,0.0468,0.3915,0.119485,4087368.5,128237.5
B657_RS21410,0.0084,0.3814,0.0219,4090369,125237
B657_RS21425,0.0344,0.3423,0.10047,4091610,123996
B657_RS21430,0.1185,0.7125,0.16637,4093260,122346
B657_RS21435,0.0311,0.5497,0.05665,4094648.5,120957.5
B657_RS21500,0.0675,0.3196,0.21136,4104671.5,110934.5
B657_RS21505,0.0564,0.3781,0.14909,4105533,110073
B657_RS21515,0.0524,0.3415,0.15343,4106751.5,108854.5
B657_RS21520,0.0349,0.204,0.17109,4107639.5,107966.5
B657_RS21525,0.0326,0.4706,0.06919,4108621.5,106984.5
B657_RS21535,0.0376,0.2516,0.14955,4110028.5,105577.5
B657_RS21540,0.0148,0.28705,0.05104,4111022,104584
B657_RS21565,0.0277,0.3596,0.07691,4114916,100690
B657_RS21595,0.0139,0.151,0.09223,4119231.5,96374.5
B657_RS21645,0.0085,0.4087,0.02079,4129081.5,86524.5
B657_RS21680,0.0413,0.3024,0.17476,4135064.75,80541.25
B657_RS21695,0.0951,0.4071,0.23356,4138168.5,77437.5
