gene_name,dN,dS,omega,midpoint,tmp_pos
DU99_18040,0.0233,0.1227,0.18971,10255,293574
DU99_18060,0.0215,0.1028,0.20968,16784.5,300103.5
DU99_18090,0.0487,0.2403,0.2026,23844.5,307163.5
DU99_18105,0.0162,0.1801,0.08976,25550,308869
DU99_18175,0.04505,0.2577,0.157155,40872.5,324191.5
DU99_18180,0.006,0.0952,0.06262,42440,325759
DU99_18185,0.012,0.2101,0.05729,43113,326432
DU99_18205,0.0108,0.0906,0.11948,49602.5,332921.5
DU99_18220,0.0069,0.0743,0.09266,52074.5,335393.5
DU99_18230,0.003,0.1891,0.01578,53740,337059
DU99_18260,0.005,0.0087,0.57387,60997,344316
DU99_18265,0,0,0,62465.5,345784.5
DU99_18280,0,0.00005,0,65532,348851
DU99_18285,0,0.0001,0,68032.5,351351.5
DU99_18375,0.0048,0.0366,0.13014,86934.5,370253.5
DU99_18420,0.0087,0.1054,0.0829,96280.5,379599.5
DU99_18450,0,0,0,100606.5,383925.5
DU99_18535,0.0063,0.1388,0.04514,118796.5,402115.5
DU99_18570,0,0.0324,0,129017.5,412336.5
DU99_18655,0.0132,0.0946,0.13943,148762.5,432081.5
DU99_18825,0.0027,0.016,0.08507,179131.25,462450.25
DU99_18915,0.00305,0.00005,NA,193921.75,477240.75
DU99_19155,0.0229,0.0983,0.23329,239169.5,522488.5
DU99_19275,0.0114,0.0925,0.12341,261363.5,544682.5
DU99_20080,0.0007,0.0557,0.01328,399861.5,683180.5
DU99_20085,0.0087,0.0159,0.54644,400904,684223
DU99_20165,0.0127,0.0479,0.26562,418620.5,701939.5
DU99_20245,0.0043,0.0226,0.18912,435660,718979
DU99_20295,0,0.0255,0,443690,727009
DU99_20300,0,0.0001,0,444078,727397
DU99_20305,0.0413,0.1026,0.40231,446707.5,730026.5
DU99_20350,0,0.0255,0,454002.5,737321.5
DU99_20505,0.041,0.1784,0.22973,479649,762968
DU99_20570,0.0042,0.0887,0.04732,490936,774255
DU99_20640,0.0161,0.1102,0.14597,501600.5,784919.5
DU99_20655,0.0246,0.0997,0.24651,505571,788890
DU99_20875,0.008,0.0753,0.10642,547947.5,831266.5
DU99_21445,0.0208,0.1161,0.1794,662712.5,946031.5
DU99_21450,0.035,0.1617,0.21656,663901,947220
DU99_21495,0.0156,0,NA,672539,955858
DU99_21680,0.0525,0.6483,0.08092,715731.5,999050.5
DU99_21775,0.0118,0.0609,0.1938,737631,1020950
DU99_21805,0.0638,0.0784,0.81441,745100,1028419
DU99_21825,0.0068,0.0448,0.15174,749358,1032677
DU99_21920,0.008,0.0154,0.5215,768373,1051692
DU99_21930,0.0012,0.021,0.05873,771542,1054861
DU99_21950,0.0017,0,NA,774992.5,1058311.5
DU99_21970,0.0026,0.021,0.12365,781387.5,1064706.5
DU99_21975,0,0,0,782389.5,1065708.5
DU99_21980,0,0.0454,0,783623.5,1066942.5
DU99_21995,0.002,0.0217,0.09013,787127.5,1070446.5
DU99_22005,0,0,0,788782,1072101
DU99_22040,0.0014,0.0171,0.08186,794820.5,1078139.5
DU99_22045,0,0.0064,0,795710,1079029
DU99_22050,0,0.0225,0,796786,1080105
DU99_22080,0.00775,0.0058,NA,802813.5,1086132.5
DU99_22105,0,0.0345,0,808700,1092019
DU99_22115,0.0048,0.0373,0.12832,810512.5,1093831.5
DU99_22120,0.0039,0.0217,0.18151,811733,1095052
DU99_22200,0.0014,0.0428,0.03195,828807.5,1112126.5
DU99_22205,0.0074,0.0339,0.21775,829733,1113052
DU99_22210,0.0033,0.0272,0.11969,830783,1114102
DU99_22235,0.0013,0.0308,0.0414,834471.5,1117790.5
DU99_22260,0.0073,0.2318,0.0316,840823,1124142
DU99_22270,0,0.021,0,842802,1126121
DU99_22285,0,0.0797,0,845097,1128416
DU99_22290,0,0.0241,0,845531,1128850
DU99_22300,0.0052,0.047,0.10992,848098.5,1131417.5
DU99_22305,0.0089,0.048,0.18646,849702,1133021
DU99_22315,0.0027,0.0476,0.05604,851595,1134914
DU99_22320,0.0026,0.0725,0.03608,852865.5,1136184.5
DU99_22415,0.0071,0.0637,0.1119,870671,1153990
DU99_22610,0.0015,0.0047,0.30829,905440.5,1188759.5
DU99_22620,0.0026,0,NA,907079.5,1190398.5
DU99_22630,0,0.0118,0,908461.5,1191780.5
DU99_22640,0,0,0,910351.5,1193670.5
DU99_22665,0.0019,0.0064,0.30194,916108,1199427
DU99_22680,0,0.003,0,917875,1201194
DU99_22690,0.0104,0.0174,0.59779,918879,1202198
DU99_22705,0.0033,0.0169,0.19675,922010.5,1205329.5
DU99_22775,0.0117,0.228,0.05144,935852.5,1219171.5
DU99_22805,0,0.0062,0,941809,1225128
DU99_22920,0.0099,0,NA,962960,387041
DU99_23090,0.0066,0.0226,0.29249,990351,359650
DU99_23100,0.0058,0.04,0.207525,997192.5,352808.5
DU99_23115,0.012,0.0631,0.18999,1000213.5,349787.5
DU99_23135,0.0081,0.0586,0.13772,1003728.5,346272.5
DU99_23155,0,0.00005,0,1005396.25,344604.75
