"X"	"Id"	"Start"	"End"	"tmp_pos"	"Exp"
"1"	4153	"BSU41060"	4215254	4215389	284.5	421.052087377292
"2"	4152	"BSU41050"	4214752	4215103	678.5	78.2001607997146
"3"	0	"BSU00010"	409	1750	1079.5	405.714062324468
"4"	4151	"BSU41040"	4213822	4214608	1391	540.935970393776
"5"	4150	"BSU41030"	4213199	4213826	2093.5	701.460470727711
"6"	1	"BSU00020"	1938	3075	2506.5	268.633194536467
"7"	2	"BSU00030"	3205	3421	3313	64.5258688294645
"8"	4149	"BSU41020"	4211509	4212889	3407	162.430112571064
"9"	3	"BSU00040"	3436	4549	3992.5	356.26674167047
"10"	4	"BSU00050"	4566	4812	4689	41.0462251792924
"11"	4148	"BSU41010"	4209602	4211489	5060.5	264.873370876765
"12"	5	"BSU00060"	4866	6783	5824.5	782.109883187216
"13"	4147	"BSU41000"	4208869	4209589	6377	108.659890069487
"14"	4146	"BSU40990"	4207896	4208748	7284	346.194655182532
"15"	4145	"BSU40980"	4207405	4207846	7980.5	5.56196660522719
"16"	6	"BSU00070"	6993	9459	8226	1370.81504204371
"17"	4144	"BSU40970"	4206396	4207158	8829	211.536611195111
"18"	4143	"BSU40960"	4205555	4206404	9626.5	255.63872755463
"19"	4142	"BSU40950"	4204899	4205517	10398	1.07185075341241
"20"	4141	"BSU40940"	4203423	4204440	11674.5	2.74553264073807
"21"	4140	"BSU40939"	4203123	4203330	12379.5	20.1119508099186
"22"	4139	"BSU40930"	4201069	4203073	13535	78.302156758783
"23"	4138	"BSU40920"	4199842	4200943	15213.5	490.682299134038
"24"	7	"BSU00080"	14846	15794	15320	1.32349990808979
"25"	4137	"BSU40910"	4199444	4199732	16018	1645.47822415712
"26"	4136	"BSU40900"	4198885	4199404	16461.5	3955.49485565457
"27"	8	"BSU00090"	15914	17381	16647.5	1697.25713135447
"28"	4135	"BSU40890"	4198602	4198842	16884	1209.65966840975
"29"	4134	"BSU40880"	4197779	4198538	17447.5	15.2634175827164
"30"	9	"BSU00100"	17533	18865	18199	676.668166856405
"31"	4133	"BSU40870"	4196785	4197721	18353	5.61483892032507
"32"	4132	"BSU40860"	4196349	4196730	19066.5	2.81469296323259
"33"	10	"BSU00110"	19061	19946	19503.5	515.991773804368
"34"	4131	"BSU40850"	4195777	4196332	19551.5	4.79618605128729
"35"	11	"BSU00120"	19967	20558	20262.5	474.644716502086
"36"	4130	"BSU40840"	4194388	4195744	20540	14.3526742641514
