gene_name,dN,dS,omega,midpoint,tmp_pos
Sinme_3699,0.001,0.0689,0.01381,638,54452
Sinme_3701,0,0.007,0,2674,52416
Sinme_3704,0.0117,0.0595,0.19636,5820.5,49269.5
Sinme_3705,0.01545,0.06995,0.207905,6615.25,48474.75
Sinme_3706,0.0072,0.0765,0.09392,7720.5,47369.5
Sinme_3707,0.0242,0.1194,0.20289,9580.5,45509.5
Sinme_3709,0.00375,0.0757,0.04964,12015.5,43074.5
Sinme_3710,0.0046,0.033,0.13927,13827.5,41262.5
Sinme_3711,0.0226,0.0595,0.38007,14908.5,40181.5
Sinme_3712,0.005,0.1202,0.04143,16058.5,39031.5
Sinme_3713,0.0064,0.0344,0.18472,17751.5,37338.5
Sinme_3715,0.0071,0.0999,0.07113,19717.5,35372.5
Sinme_3718,0.0025,0.1536,0.01599,22842.5,32247.5
Sinme_3719,0.0072,0.0567,0.1276,24091,30999
Sinme_3721,0.0024,0.0446,0.05312,25603,29487
Sinme_3723,0.0088,0.0504,0.17532,26774,28316
Sinme_3724,0.0024,0.0509,0.04741,28384,26706
Sinme_3725,0.0056,0.0791,0.07109,29776.5,25313.5
Sinme_3726,0.0023,0.0166,0.13934,30941,24149
Sinme_3727,0.0016,0.0583,0.02736,31696.5,23393.5
Sinme_3731,0.0052,0.0424,0.12257,35503,19587
Sinme_3733,0.0024,0.0196,0.12421,36635.5,18454.5
Sinme_3734,0,0.00655,0,38059.5,17030.5
Sinme_3735,0.006,0.0186,0.32033,39853.5,15236.5
Sinme_3737,0.009,0.018,NA,41810.1666666667,13279.8333333333
Sinme_3738,0.00275,0.0513,0.052865,43559.75,11530.25
Sinme_3739,0.0042,0.0477,0.08905,45015.5,10074.5
Sinme_3740,0.0009,0.0251,0.03688,45948,9142
Sinme_3741,0.006,0.0892,0.06734,47157,7933
Sinme_3742,0.0117,0.1018,0.1149,48175,6915
Sinme_3744,0.0074,0.0932,0.07888,49858,5232
Sinme_3745,0.00555,0.0632,0.087885,51525,3565
Sinme_3746,0.0081,0.0546,0.14776,52834.5,2255.5
Sinme_3747,0.0081,0.1263,0.0639,54208,882
Sinme_3749,0.0107,0.0195,0.5479,55745,655
Sinme_3751,0.0104,0.0413,0.25038,57058,1968
Sinme_3752,0.001,0.0237,0.04348,58162,3072
Sinme_3754,0,0.0402,0,59897.5,4807.5
Sinme_3756,0.0078,0.0519,0.14988,62669.5,7579.5
Sinme_3757,0.0057,0.0509,0.11204,63433.5,8343.5
Sinme_3760,0.0149,0.1543,0.09651,67155,12065
Sinme_3761,0,0.0718,0,68232.5,13142.5
Sinme_3762,0.0032,0.0197,0.15977,69151,14061
Sinme_3763,0.0016,0.0412,0.03937,69934,14844
Sinme_3765,0,0.0142,0,72624,17534
Sinme_3768,0,0.0132,0,74171,19081
Sinme_3769,0.0096,0.0177,NA,74789.25,19699.25
Sinme_3770,0,0.0881,0,75566.5,20476.5
Sinme_3771,0.0054,0.0748,0.0727,76894.5,21804.5
Sinme_3772,0.00945,0.2333,0.040945,79391.5,24301.5
Sinme_3774,0.00755,0.17255,0.044465,82231.5,27141.5
Sinme_3775,0.0356,0.2167,0.158705,83655.75,28565.75
Sinme_3776,0.0089,0.163,0.05475,84473,29383
Sinme_3779,0.0181,0.1844,0.09823,85910,30820
Sinme_3780,0.017,0.0617,0.27512,87064,31974
Sinme_3783,0.0236,0.166,0.142,89822,34732
Sinme_3784,0.0184,0.1926,0.09572,92130.5,37040.5
Sinme_3785,0.0037,0.0477,0.07659,93087,37997
Sinme_3787,0.009325,0.0275,0.4112125,95345.875,40255.875
Sinme_3788,0.013,0.0886,0.14664,97545,42455
Sinme_3789,0,0.0589,0,98713.5,43623.5
Sinme_3790,0.00935,0.06395,0.207225,99792.75,44702.75
Sinme_3791,0.0063,0.0559,0.11339,100990.5,45900.5
Sinme_3792,0.015,0.1199,0.12503,102255.5,47165.5
Sinme_3794,0.0197,0.0658,0.29873,104115.5,49025.5
Sinme_3795,0.0215,0.1006,0.21408,105343.5,50253.5
Sinme_3797,0.0237,0.0933,0.25393,106927.5,51837.5
Sinme_3798,0.0104,0.0833,0.12457,107945,52855
Sinme_3799,0.0145,0.0872,0.16685,109246.5,54156.5
Sinme_3800,0.0114,0.0843,0.13505,110464.5,55374.5
Sinme_3804,0.0095,0.079,0.12068,114175,59085
Sinme_3806,0,0.0731,0,116328,61238
Sinme_3808,0.0053,0.0379,0.14081,117189.5,62099.5
Sinme_3809,0.014,0.026,0.53841,118101,63011
Sinme_3810,0.0008,0.0237,0.03392,119457,64367
Sinme_3812,0.004,0.0118,0.33915,121682,66592
Sinme_3813,0.0045,0.0109,0.41189,122968,67878
Sinme_3814,0.0147,0.08975,0.208025,124713,69623
Sinme_3815,0.0017,0.0556,0.03073,126006.5,70916.5
Sinme_3816,0.0021,0.0409,0.05197,127256.5,72166.5
Sinme_3818,0.0011,0.0982,0.0116,129354,74264
Sinme_3820,0.0034,0.0459,0.0751,131136,76046
Sinme_3822,0.0042,0.0082,NA,134079,78989
Sinme_3823,0.0025,0.0312,0.08104,136042,80952
Sinme_3825,0.0012,0.0161,0.07398,138304.5,83214.5
Sinme_3826,0,0.0328,0,139496,84406
Sinme_3828,0.005,0.063,0.07873,142194.5,87104.5
Sinme_3829,0.0073,0.0241,0.30439,143063.5,87973.5
Sinme_3831,0.0074,0.0901,0.08232,145137.5,90047.5
Sinme_3833,0.00766666666666667,0.118133333333333,0.0521833333333333,148134.666666667,93044.6666666667
Sinme_3834,0.0082,0.0473,0.17352,150366.5,95276.5
Sinme_3836,0.00356666666666667,0.0856333333333333,0.0426233333333333,152655.166666667,97565.1666666667
Sinme_3837,0.0082,0.037,0.22157,154367,99277
Sinme_3841,0.0045,0.0973,0.04586,155629,100539
Sinme_3842,0.0105,0.1289,0.08183,156914,101824
Sinme_3843,0,0.1273,0,157843,102753
Sinme_3844,0.0016,0.1614,0.00998,159135.5,104045.5
Sinme_3845,0.0137,0.0135,1.01388,160798,105708
Sinme_3846,0,0.0223,0,161874,106784
Sinme_3848,0.0034,0.0229,0.15066,162911,107821
Sinme_3849,0,0.3041,0,164036.5,108946.5
Sinme_3850,0.0552,0.2826,0.19529,164906.5,109816.5
Sinme_3864,0.0018,0.1903,0.00954,180421.5,125331.5
Sinme_3865,0,0.1397,0,181392.5,126302.5
Sinme_3867,0.031,0.23695,0.11341,184917,129827
Sinme_3868,0.0061,0.1094,0.05588,185828,130738
Sinme_3871,0.0063,0.0617,0.10154,186937,131847
Sinme_3872,0.001,0.0685,0.02832,188441,133351
Sinme_3873,0,0.0335,0,190591,135501
Sinme_3874,0,0.0759,0,191876.5,136786.5
Sinme_3875,0.0103,0,NA,193100.5,138010.5
Sinme_3877,0.00315,0.10735,0.069795,194129.25,139039.25
Sinme_3878,0.0095,0.1621,0.05833,195187.5,140097.5
Sinme_3880,0.0072,0.0264,0.27356,197251,142161
Sinme_3881,0.00863333333333333,0.0772666666666667,0.122666666666667,198797.833333333,143707.833333333
Sinme_3882,0.0043,0.0292,0.14783,200309.5,145219.5
Sinme_3884,0.0169,0.0647,0.2603,203419,148329
Sinme_3885,0.0018,0.1195,0.01491,204046,148956
Sinme_3886,0.00745,0.16,0.0411,205195,150105
Sinme_3887,0,0.0456,0,206497,151407
Sinme_3888,0.0022,0.0446,0.05038,207799.5,152709.5
