"X"	"Id"	"Start"	"End"	"tmp_pos"	"Exp"
"1"	0	"SMc02793"	477	1299	888	92.432877752348
"2"	1	"SMc02792"	1346	1946	1646	74.6551237198875
"3"	2	"SMc02791"	1938	2799	2368.5	132.990290149402
"4"	3	"SMc02790"	2795	3380	3087.5	74.4815071366142
"5"	4	"SMc02789"	3573	4302	3937.5	395.151306075392
"6"	5	"SMc02788"	4407	4914	4660.5	183.596654226757
"7"	6	"SMc02787"	5081	5657	5369	29.8238804767514
"8"	7	"SMc02786"	5791	6493	6142	387.338560427049
"9"	8	"SMc02785"	6510	7629	7069.5	200.874367840376
"10"	9	"SMc02784"	7621	8188	7904.5	78.4746881725621
"11"	10	"SMc02783"	8184	8562	8373	25.7949047118357
"12"	11	"SMc02782"	8696	11132	9914	1213.02192933631
"13"	12	"SMc02781"	11231	11828	11529.5	168.234453199735
"14"	13	"SMc02780"	11995	13450	12722.5	945.863055869652
"15"	14	"SMc02779"	13645	14611	14128	0
"16"	15	"SMc02778"	14892	15693	15292.5	79.038233675008
"17"	16	"SMc02777"	15705	16584	16144.5	30.6699479884757
"18"	17	"SMc02776"	16751	18257	17504	157.08435563033
"19"	18	"SMc02775"	18313	19333	18823	54.8968484826003
"20"	19	"SMc02774"	19441	20431	19936	103.841026667158
"21"	20	"SMc02773"	20542	22096	21319	79.7418647866015
"22"	21	"SMc02772"	22129	23104	22616.5	44.9757312857405
"23"	22	"SMc02771"	23150	24167	23658.5	51.3905037574328
"24"	23	"SMc02770"	24434	25709	25071.5	212.973315892835
"25"	24	"SMc02769"	25858	26284	26071	324.04386442381
"26"	25	"SMc02768"	26382	27138	26760	196.438120497826
"27"	26	"SMc02767"	27375	28023	27699	123.737376410852
"28"	27	"SMc02766"	28047	29268	28657.5	597.2409897591
"29"	28	"SMc02765"	29273	30113	29693	443.416711473662
"30"	29	"SMc02764"	30166	31081	30623.5	750.023568465038
"31"	30	"SMc02763"	31096	32440	31768	647.589794116719
"32"	31	"SMc02762"	32787	33951	33369	0
"33"	32	"SMc02761"	34090	34414	34252	504.529742956037
"34"	33	"SMc02760"	34495	38065	36280	391.505358146095
"35"	34	"SMc02759"	38054	41234	39644	426.402288069812
"36"	35	"SMc02758"	41235	41967	41601	139.887752475724
"37"	36	"SMc02757"	41973	43488	42730.5	229.839215127497
"38"	37	"SMc02756"	43497	45978	44737.5	740.446046926129
"39"	38	"SMc02755"	46279	47680	46979.5	1521.89937799831
"40"	39	"SMc02754"	47836	48127	47981.5	64.0645131384742
"41"	40	"SMc02753"	48126	48528	48327	110.78580870496
"42"	41	"SMc02752"	48808	49255	49031.5	25.8688684520071
