"X"	"Id"	"Start"	"End"	"tmp_pos"	"Exp"
"1"	0	"SCO0001"	445	1123	-3418579	0.439876291470196
"2"	1	"SCO0002"	1251	3813	-3416831	0.754294311266034
"3"	2	"SCO0003"	3868	6220	-3414319	0.62234689187423
"4"	3	"SCO0004"	6225	7173	-3412664	4.55079543736348
"5"	4	"SCO0005"	7186	9307	-3411117	4.4778690693989
"6"	5	"SCO0006"	9303	10410	-3409507	0.561471798242035
"7"	6	"SCO0007"	10553	11000	-3408587	0.0655101991446558
"8"	7	"SCO0008"	11009	11360	-3408179	0.0991923198194758
"9"	8	"SCO0009"	11616	11952	-3407579	0.213371657771378
"10"	9	"SCO0010"	12365	13457	-3406452	2.11038636965892
"11"	10	"SCO0011"	13213	14023	-3405745	1.67808092750121
"12"	11	"SCO0012"	14043	14454	-3405115	1.19417060273623
"13"	12	"SCO0013"	14738	15029	-3404479	0.0495961599097379
"14"	13	"SCO0014"	15316	15595	-3403907	0.262040796578624
"15"	14	"SCO0015"	16069	17302	-3402677	0.0327550995723278
"16"	15	"SCO0016"	17714	17918	-3401547	0.0159140392349179
"17"	16	"SCO0017"	17918	18263	-3401273	0.0327550995723278
"18"	17	"SCO0018"	18484	19351	-3400445	0.770208350500952
"19"	18	"SCO0019"	19516	19771	-3399719	0.16377549786164
"20"	19	"SCO0020"	19973	21620	-3398567	0.427670336645247
"21"	20	"SCO0021"	21616	22210	-3397450	0.241491651831245
"22"	21	"SCO0022"	22155	22761	-3396905	0.292941853945967
"23"	22	"SCO0025"	22842	23061	-3396411	0.146007416421738
"24"	23	"SCO0026"	23315	23831	-3395790	0.708406235766263
"25"	24	"SCO0027"	23976	24345	-3395203	0.132874440494296
"26"	25	"SCO0028"	24377	24521	-3394914	0.0477421177047537
"27"	26	"SCO0029"	24643	24943	-3394570	0.0804972172770815
"28"	27	"SCO0030"	25250	25871	-3393803	0.0486691388072458
"29"	28	"SCO0031"	25842	26385	-3393249	0.13009337718682
"30"	29	"SCO0032"	26392	26452	-3392941	0
"31"	30	"SCO0033"	26526	28773	-3391713	1.37092439603276
"32"	31	"SCO0034"	29039	29519	-3390084	0.03368212067482
"33"	32	"SCO0035"	29604	30054	-3389534	0.18061655819905
"34"	33	"SCO0036"	30115	30355	-3389128	0.228358675903803
"35"	34	"SCO0037"	30378	31131	-3388609	1.54613350810941
"36"	35	"SCO0038"	31145	31274	-3388153	4.8463647359772
"37"	36	"SCO0039"	31519	32137	-3387535	0.13009337718682
"38"	37	"SCO0040"	32133	33357	-3386618	0.228358675903803
"39"	38	"SCO0041"	33359	33845	-3385761	0.0486691388072458
"40"	39	"SCO0042"	33841	34777	-3385054	0.0964112565119995
"41"	40	"SCO0043"	35178	35907	-3383821	1.56482861065181
"42"	41	"SCO0044"	36005	36674	-3383023	0.0645831780421637
"43"	42	"SCO0045"	36688	36817	-3382611	0
"44"	43	"SCO0046"	36815	37478	-3382217	0.349027161573149
"45"	44	"SCO0047"	37613	38768	-3381173	1.69955709335109
"46"	45	"SCO0048"	39106	39490	-3380065	0.241491651831245
"47"	46	"SCO0049"	39488	39812	-3379713	0.340683971650721
"48"	47	"SCO0050"	39876	40212	-3379319	0.311636956488361
"49"	48	"SCO0055"	42170	43682	-3376437	2.08690148111152
"50"	49	"SCO0056"	43767	43857	-3375551	0
"51"	50	"SCO0057"	43949	44090	-3375343	0.381782261145477
"52"	51	"SCO0058"	44252	44975	-3374749	1.86333259121272
"53"	52	"SCO0059"	45266	46073	-3373693	0.574604774169476
"54"	53	"SCO0060"	46063	46201	-3373231	0.161921455656655
"55"	54	"SCO0061"	46429	47734	-3372281	1.40661523940512
"56"	55	"SCO0062"	47788	48892	-3371023	1.92776108876234
"57"	56	"SCO0063"	48888	49824	-3370007	1.08277232809181
"58"	57	"SCO0064"	49820	51539	-3368683	0.260186754373639
"59"	58	"SCO0065"	51830	53144	-3366876	0.147861458626722
"60"	59	"SCO0066"	53140	54100	-3365743	0.14693443752423
"61"	60	"SCO0067"	54096	54918	-3364856	0.100119340921968
"62"	61	"SCO0068"	54967	56173	-3363793	0.100119340921968
"63"	62	"SCO0069"	56224	59383	-3361559	0.566261584247048
"64"	63	"SCO0070"	59557	60241	-3359464	0.165629540066624
"65"	64	"SCO0071"	60068	60275	-3359191	0.165629540066624
"66"	65	"SCO0072"	60739	64093	-3356947	3.40761205711715
"67"	66	"SCO0073"	64604	64925	-3354599	0.03368212067482
"68"	67	"SCO0074"	64993	65092	-3354321	0.862911522602984
"69"	68	"SCO0075"	65091	65679	-3353978	2.46992012434459
"70"	69	"SCO0079"	66687	67911	-3352064	2.27122612372053
"71"	70	"SCO0080"	68371	68887	-3350734	0.294795896150951
"72"	71	"SCO0083"	69798	70647	-3349141	0.263894838783607
"73"	72	"SCO0084"	70776	71235	-3348357	0.589591792301902
"74"	73	"SCO0085"	71647	72139	-3347470	0.13009337718682
"75"	74	"SCO0086"	72158	73097	-3346735	0.393061194867935
"76"	75	"SCO0087"	73783	74833	-3345055	0.359379074193114
"77"	76	"SCO0088"	74916	75876	-3343967	0.423962252235279
"78"	77	"SCO0089"	75855	76893	-3342989	2.72979751773312
"79"	78	"SCO0090"	76894	77314	-3342259	0.489472451379934
"80"	79	"SCO0091"	77314	78271	-3341571	1.79226026545312
"81"	80	"SCO0095"	78982	79702	-3340021	0.0477421177047537
"82"	81	"SCO0096"	79838	80690	-3339099	1.32519100102554
"83"	82	"SCO0097"	80844	81165	-3338359	2.02247298356191
"84"	83	"SCO0098"	81601	82441	-3337342	0.181543579301541
"85"	84	"SCO0101"	83515	84259	-3335476	0.620492849669246
"86"	85	"SCO0102"	84892	85339	-3334247	0.446365439187641
"87"	86	"SCO0103"	85335	86643	-3333374	0.658810075856527
"88"	87	"SCO0104"	86639	87311	-3332388	0.460425436217574
"89"	88	"SCO0105"	87906	88632	-3331094	0.116033380156886
"90"	89	"SCO0106"	89072	89465	-3330095	0.609213915946789
"91"	90	"SCO0107"	89485	90043	-3329599	1.14920954833896
"92"	91	"SCO0108"	90241	90391	-3329047	0.0486691388072458
"93"	92	"SCO0109"	90394	90865	-3328733	0.262040796578624
"94"	93	"SCO0110"	90950	91790	-3327993	1.09590530401925
"95"	94	"SCO0111"	91976	92729	-3327011	0.16377549786164
"96"	95	"SCO0112"	92772	92928	-3326513	0.0655101991446558
"97"	96	"SCO0116"	94305	94872	-3324775	1.03781127369453
"98"	97	"SCO0117"	94988	95681	-3324029	0.06736424134964
"99"	98	"SCO0118"	95988	97518	-3322610	2.82049196713761
"100"	99	"SCO0119"	97759	98281	-3321343	4.29138102359978
"101"	100	"SCO0120"	98462	99338	-3320463	1.15477167495391
"102"	101	"SCO0121"	99334	99949	-3319721	2.17388784610604
"103"	102	"SCO0122"	100189	101566	-3318485	3.42785184087942
"104"	103	"SCO0123"	101655	103002	-3317035	2.14298678873869
"105"	104	"SCO0124"	103627	104989	-3315055	3.3088827169225
"106"	105	"SCO0125"	105056	106640	-3313515	1.798594732678
"107"	106	"SCO0126"	106636	112885	-3309603	7.30098741935143
"108"	107	"SCO0127"	112931	119654	-3303071	8.02422599275758
"109"	108	"SCO0128"	119650	119833	-3299621	0.311636956488361
"110"	109	"SCO0129"	119840	120215	-3299335	0.629763060694166
"111"	110	"SCO0130"	120456	121371	-3298449	0.263894838783607
"112"	111	"SCO0131"	121616	122456	-3297327	0.129166356084327
"113"	112	"SCO0132"	122742	125502	-3295241	10.8144366863509
"114"	113	"SCO0133"	125624	126005	-3293549	0.161921455656655
"115"	114	"SCO0134"	126988	127294	-3292222	0.260186754373639
"116"	115	"SCO0135"	127570	128290	-3291433	0.763719202783507
"117"	116	"SCO0136"	128633	130184	-3289955	1.32704504323052
"118"	117	"SCO0137"	130200	131001	-3288763	1.89979577519502
"119"	118	"SCO0138"	131522	132296	-3287454	0.326623974620787
"120"	119	"SCO0139"	132326	132647	-3286877	1.17825656350132
"121"	120	"SCO0140"	132692	133520	-3286257	9.6290722531619
